filename,region,natuurlijk,ga,je,van,hard,werken,heus,niet,dood,maar,in,andere,opzichten,is,de,prijs,soms,hoger,dan,je,dacht
9161-1459956277-1745699,Limburg,n@tyr@k,xa,j,vacn,hacrt,wecrk@,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d,preis,socms,hogcr,dacn,j,dacxt
9164-1459877039-1740172,Limburg,natyrl@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,ma,n,acnd@r,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacxt
9175-1460205894-1753546,Limburg,n@tyrl@k,xa,j@,vacn,hacrt,wecrk@n,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hogcr,dacn,j@,dacxt
9179-1460139740-1752003,Limburg,ntyl@k,xa,j,vacn,hacrt,wecrk@n,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacx
9181-1460143313-1752399,Limburg,ndyr@k,xa,j,vacn,hacrt,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j@,dacxt
9240-1460555284-1761425,Limburg,natyrl@k,xa,j,vacn,hacr,wecrk@,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogcr,dacn,j@,dacx
9531-1464108261-1843151,Limburg,n@dyr@k,xa,j,vacn,hacr,wecrk@,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc,dacn,j,dacxt
10442-1465980824-2317890,Oost_Overijsel-Gelderland,ntyl@k,xa,j,facn,hacrt,wecrk@,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d,preis,socms,hox@,dacn,j,dacxt
10609-1466104775-1900415,Oost_Overijsel-Gelderland,tyk,xa,j@,facn,hacr,wecrk@n,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hogcr,dacn,j,dacxt
10895-1464279730-1974103,Oost_Overijsel-Gelderland,natyrl@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,ma,n,acndr@,ocpsicxt@,ics,d@,preis,socms,hox@r,dacn,j,dacxt
11791-1466163930-2331627,Oost_Overijsel-Gelderland,ndyk,xa,j@,vacn,hacr,wecrk,heus,ni,dot,ma,n,acndr,psicxt@,ics,d,preis,socms,hogc,dacn,j@,dacx
12145-1466104640-2328620,Oost_Overijsel-Gelderland,naty@k,xa,j,vacn,hacr,wecrk@n,heus,ni,dot,mar,icn,acndr,ocpsicxt@n,ics,d@,preis,socms,hogcr,dacn,j,dacxt
13104-1464303877-2005967,Oost_Overijsel-Gelderland,n@tyl@k,xa,j,vacn,hacr,wecrk@,heus,ni,dot,ma,icn,acndr,ocpsicxt@n,ics,d@,preis,socms,hogc@,dacn,j,dacxt
13285-1465072254-2236042,Oost_Overijsel-Gelderland,naty@k,xa,j,facn,hacrt,wecrk@n,heus,ni,dot,ma,icn,acnd@r,ocpsicxt@n,ics,d,preis,socms,hogc@,dacn,j,dacxt
13452-1464612332-2147319,Oost_Overijsel-Gelderland,ntyk,xa,j,vacn,hacrt,wecrk@,heus,ni,dot,ma,icn,acnd@r,ocpsicxt@n,ics,d@,preis,socms,hogc@,dacn,j,dacxt
13550-1465929939-2316399,Oost_Overijsel-Gelderland,n@tyrl@k,xa,j,facn,hacr,wecrkn,heus,ni,dot,mar,icn,acndr,ocpsicxt@n,ics,d@,preis,socms,hogc@r,dacn,j@,dacx
14656-1464340960-2016801,Oost_Overijsel-Gelderland,ndyl@k,xa,j,vacn,hacr,wecrk@n,heus,ni,dot,ma,icn,acndr@,ocpsicxt@n,ics,d,preis,socms,hogc,dacn,j,dacxt
14949-1464440980-2089990,Oost_Overijsel-Gelderland,natyk,xa,j@,facn,hacrt,wecrk@n,heus,ni,dot,mar,icn,acndr,ocpsicxt@n,ics,d@,preis,socms,hogcr,dacn,j@,dacx
14966-1464385351-2072441,Oost_Overijsel-Gelderland,n@tyl@k,xa,j,facn,hacr,wecrk@n,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacxt
15456-1464346119-2021968,Oost_Overijsel-Gelderland,n@tyl@k,xa,j,vacn,hacrt,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogcr,dacn,j,dacxt
15474-1464525438-2121524,Oost_Overijsel-Gelderland,natyl@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacxt
15629-1464802355-2192865,Oost_Overijsel-Gelderland,n@tyl@k,xa,j,facn,hacrt,wecrk@n,heus,ni,dot,ma,icn,acnd@r,ocpsicxt@n,ics,d@,preis,socms,hogc@r,dacn,j,dacxt
16057-1464364495-2045675,Oost_Overijsel-Gelderland,n@tyl@k,xa,j,vacn,hacrt,wecrk@,heus,ni,dot,ma,n,acnd@r,ocpsicxt@,ics,d@,preis,socms,hogcr,dacn,j,dacxt
16270-1464092115-1858786,Oost_Overijsel-Gelderland,natyrl@k,xa,j,vacn,hacrt,wecrk@n,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hoxr,dacn,j,dacx
16497-1464684867-2167884,Oost_Overijsel-Gelderland,natyl@k,xa,j@,vacn,hacr,wecrk@n,heus,ni,dot,ma,n,acndr,psicxt@,ics,d@,preis,socms,hogc,dacn,j,dacx
16501-1464624112-2152007,Oost_Overijsel-Gelderland,n@tyrl@k,xa,j,vacn,hacrt,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hogcr,dacn,j,dacxt
16505-1464632261-2128908,Oost_Overijsel-Gelderland,nadyk,xa,j@,vacn,hacr,wecrk@n,heus,ni,dot,ma,n,acndr@,ocpsicxt@,ics,d,preis,socms,hogcr,dacn,j,dacx
1654-1449522819-456554,Oost_Overijsel-Gelderland,nactyrl@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,ma,n,acnd@r,ocpsicxt@n,ics,d@,preis,socms,hogc@,dacn,j,dacxt
17518-1476864587-2509325,Oost_Overijsel-Gelderland,n@tyl@k,xa,j@,facn,hacr,wecrk@,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hogcr,dacn,j,dacx
17700-1481234665-2533740,Oost_Overijsel-Gelderland,n@tyrl@k,xa,j,vacn,hacr,wecrk@n,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacxt
2486-1449328560-289066,Oost_Overijsel-Gelderland,ntyrl@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,mar,icn,acndr,ocpsicxt@n,ics,d@,preis,socms,hogc@,dacn,j@,dacxt
2625-1452286968-872243,Oost_Overijsel-Gelderland,natyk,xa,j@,facn,hacr,wecrk,heus,ni,dot,mar,n,acndr,ocpsicxt@n,ics,d@,preis,socms,hogcr,dacn,j,dacxt
3060-1449666395-530910,Oost_Overijsel-Gelderland,natyl@k,xa,j,vacn,hacr,wecrk,heus,nit,dot,mar,icn,acndr@,ocpsicxt@n,ics,d@,preis,socms,hogc,dacn,j,dacxt
309-1449235462-178078,Oost_Overijsel-Gelderland,n@tyrl@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,ma,n,acnd@r,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacx
3377-1449688702-547513,Oost_Overijsel-Gelderland,n@tyl@k,xa,j@,facn,hacrt,wecrk,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d,preis,socms,hogcr,dacn,j,dacxt
3399-1449981284-549458,Oost_Overijsel-Gelderland,n@dyrl@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d@,preis,socms,hogcr,dacn,j,dacxt
3583-1449677520-536709,Oost_Overijsel-Gelderland,n@tyl@k,xa,j,facn,hacrt,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@r,dacn,j,dacx
4245-1450076081-665578,Oost_Overijsel-Gelderland,ndyk,xa,j@,vacn,hacrt,wecrk,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d@,preis,socms,hogcr,dacn,j,dacxt
4373-1450275491-698436,Oost_Overijsel-Gelderland,n@tyl@k,xa,j,facn,hacrt,wecrk,heus,ni,dot,mar,icn,acndr@,ocpsicxt@,ics,d@,preis,socms,hogcr,dacn,j,dacxt
4424-1459422665-1667443,Oost_Overijsel-Gelderland,n@ty@k,xa,j@,vacn,hacrt,wecrk@,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogcr,dacn,j@,dacx
4444-1450601079-734827,Oost_Overijsel-Gelderland,natyrk,xa,j@,vacn,hacr,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hogc,dacn,j,dacxt
4674-1450969387-774669,Oost_Overijsel-Gelderland,natyl@k,xa,j,facn,hacrt,wecrk,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacxt
4937-1451770396-840651,Oost_Overijsel-Gelderland,ntyl@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacxt
5559-1454011778-997357,Oost_Overijsel-Gelderland,n@tyrl@k,xa,j,facn,hacrt,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc,dacn,j,dacxt
5598-1454102992-1124553,Oost_Overijsel-Gelderland,n@tyl@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,mar,icn,acndr,ocpsicxt@,ics,d,preis,socms,hogc@,dacn,j,dacx
5857-1457612875-1571224,Oost_Overijsel-Gelderland,natyl@k,xa,j,facn,hacr,wecrk,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d@,preis,socms,hogcr,dacn,j,dacxt
6030-1454018082-1037112,Oost_Overijsel-Gelderland,nactyrl@k,xa,j,vacn,hacr,wecrk,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@r,dacn,j,dacx
6077-1460576510-1761666,Oost_Overijsel-Gelderland,natyrlk,xa,j@,vacn,hacr,wecrk@,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacx
6308-1454423541-1244381,Oost_Overijsel-Gelderland,n@tyr@k,xa,j,vacn,hacrt,wecrk,heus,ni,dot,ma,icn,acnd@r,ocpsicxt@,ics,d,preis,socms,hoxr,dacn,j,dacxt
6545-1454276367-1202654,Oost_Overijsel-Gelderland,n@tyl@k,xa,j,facn,hacr,wecrk@,heus,ni,dot,ma,n,acndr,ocpsicxt@n,ics,d@,preis,socms,hogcr,dacn,j,dacxt
6796-1454362796-1232502,Oost_Overijsel-Gelderland,n@tyr@k,xa,j@,vacn,hacr,wecrk,heus,ni,dot,mar,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@r,dacn,j,dacx
6930-1456498135-1527785,Oost_Overijsel-Gelderland,n@ty@k,xa,j,facn,hacrt,wecrk,heus,ni,dot,mar,n,acndr,ocpsicxt@n,ics,d@,preis,socms,hogc,dacn,j,dacx
6968-1454525474-1301584,Oost_Overijsel-Gelderland,tyk,xa,j,vacn,hacrt,wecrk@,heus,ni,dot,ma,n,acndr,ocpsicxt@n,ics,d,preis,socms,hogc@,dacn,j,dacx
828-1449174204-133122,Oost_Overijsel-Gelderland,natyrlk,xa,j,vacn,hacr,wecrk,heus,ni,dot,ma,n,acnd@r,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacxt
8391-1462471834-1801566,Oost_Overijsel-Gelderland,natyrl@k,xa,j,vacn,hacrt,wecrk@,heus,ni,dot,mar,icn,acndr,ocpsicxt@,ics,d@,preis,socms,hogc@,dacn,j,dacxt
8641-1458178273-1671251,Oost_Overijsel-Gelderland,natyrl@k,xa,j@,facn,hacrt,wecrk,heus,ni,dot,mar,icn,acnd@r,ocpsicxt@n,ics,d,preis,socms,hogc@r,dacn,j,dacxt
8804-1457968558-1649360,Oost_Overijsel-Gelderland,nty@k,xa,j,vacn,hacrt,wecrk,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hox,dacn,j,dacxt
9220-1464561276-2139502,Oost_Overijsel-Gelderland,n@tyrl@k,xa,j,facn,hacrt,wecrk@,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hogcr,dacn,j,dacxt
9415-1462988421-1806716,Oost_Overijsel-Gelderland,n@tyl@k,xa,j,vacn,hacr,wecrkn,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d@,preis,socms,hogc,dacn,j,dacxt
9486-1463415978-1821977,Oost_Overijsel-Gelderland,natyrl@k,xa,j,vacn,hacrt,wecrk@,heus,ni,dot,ma,icn,acndr,ocpsicxt@,ics,d@,preis,socms,hogcr,dacn,j,dacxt
9910-1464205445-1937622,Oost_Overijsel-Gelderland,n@tyrl@k,xa,j,vacn,hacrt,wecrk@,heus,ni,dot,ma,n,acndr,ocpsicxt@,ics,d,preis,socms,hox@,dacn,j,dacx
