filename,region,zacht,knort,het,varken,in,de,wei,een,karakteristiek,geluid
17226-1472585312-2478131,Oost_Overijsel-Gelderland,zacxt,knocrt,hect,vacrk@n,icn,d@,wei,@n,kacrackt@r@stik,x@luit
17518-1476345367-2509230,Oost_Overijsel-Gelderland,zacx,knocrt,hect,facrk@,n,d,wei,@n,kacrackt@r@stik,xluit
17700-1479853639-2531671,Oost_Overijsel-Gelderland,zacx,knocrt,hect,facrk@,icn,d@,wei,@n,karackt@r@stik,x@luit
2486-1449325170-286923,Oost_Overijsel-Gelderland,zacx,knocrt,hect,facrk@n,icn,d,wei,@n,karackt@r@stik,x@luit
2625-1452282475-871183,Oost_Overijsel-Gelderland,zacx,knocr,hect,facrk@,icn,d@,wei,@n,karackt@r@stik,x@luit
2682-1449505157-433822,Oost_Overijsel-Gelderland,sacx,knr,hect,facrk@,icn,d@,wei,@n,karackt@r@stik,x@luit
3060-1449433936-394696,Oost_Overijsel-Gelderland,sacx,knocr,hect,facrk@,icn,d,wei,n,karackt@r@stik,x@luit
309-1449157223-71810,Oost_Overijsel-Gelderland,sacx,knocr,hect,facrk@,icn,d,wei,@,karackt@r@stik,x@luit
3377-1449687051-498569,Oost_Overijsel-Gelderland,zacxt,knocrt,hect,facrk@n,icn,d@,wei,@n,karackt@r@stik,xluit
3399-1449690277-538012,Oost_Overijsel-Gelderland,zacx,knocr,hect,facrk@,icn,d,wei,@n,karackt@r@stik,gc@luit
3583-1449677154-523495,Oost_Overijsel-Gelderland,zacx,kn@r,hect,facrk@,icn,d@,wei,@n,karackt@r@stik,x@luit
3823-1457001780-1550487,Oost_Overijsel-Gelderland,sacxt,knocr,hect,facrk@n,icn,d@,wei,@n,karackt@r@stik,x@luit
4012-1450112836-672668,Oost_Overijsel-Gelderland,zacxt,knocr,hect,facrk@n,icn,d,wei,@n,kacrackt@r@stik,x@luit
4245-1450074506-665447,Oost_Overijsel-Gelderland,sacxt,knocr,hect,facrk@,icn,d,wei,@n,karackt@r@stik,x@luit
4373-1450275116-698096,Oost_Overijsel-Gelderland,sacxt,knocrt,hect,facrk@,icn,d@,wei,n,kacrackt@r@stik,x@luit
4424-1457695409-1565758,Oost_Overijsel-Gelderland,sacxt,knr,hect,vacrk@,icn,d@,wei,@n,karackt@r@stik,gc@luit
4444-1450522326-721669,Oost_Overijsel-Gelderland,zacxt,knocr,hect,facrk@,icn,d,wei,n,kacrackt@r@stik,x@luit
4495-1451034878-739354,Oost_Overijsel-Gelderland,zacx,knocr,hect,facrk@n,icn,d@,wei,@n,karackt@r@stik,x@luit
4674-1450955292-774437,Oost_Overijsel-Gelderland,zacxt,knocrt,hect,facrk@n,icn,d@,wei,@n,karackt@r@stik,xluit
4844-1464179468-1911788,Oost_Overijsel-Gelderland,sacxt,knrt,hect,facrk@n,icn,d@,wei,n,kacrackt@r@stik,x@luit
4937-1451769921-840520,Oost_Overijsel-Gelderland,sacx,knr,hect,vacrk@,icn,d@,wei,n,karackt@r@stik,x@luit
5559-1454010184-988761,Oost_Overijsel-Gelderland,sacxt,knr,hect,facrk@,icn,d,wei,@,karackt@r@stik,gc@luit
5598-1454102418-1123334,Oost_Overijsel-Gelderland,zacxt,knocr,hect,vacrk@,icn,d,wei,n,karackt@r@stik,gc@luit
5857-1457599554-1571136,Oost_Overijsel-Gelderland,zacxt,knocr,hect,facrk@,icn,d@,wei,@n,kacrackt@r@stik,x@luit
6030-1454017195-1033312,Oost_Overijsel-Gelderland,zacxt,knocr,hect,facrk@,icn,d@,wei,n,karackt@r@stik,x@luit
6077-1454543037-1317434,Oost_Overijsel-Gelderland,zacx,knocr,hect,facrk@n,icn,d@,wei,@n,kacrackt@r@stik,x@luit
6308-1454078052-1096714,Oost_Overijsel-Gelderland,sacxt,kn@rt,hect,facrk@,icn,d@,wei,@n,kacrackt@r@stik,x@luit
6545-1454173309-1150483,Oost_Overijsel-Gelderland,zacx,knocr,hect,vacrk@n,icn,d,wei,n,karackt@r@stik,x@luit
6579-1454256899-1183006,Oost_Overijsel-Gelderland,zacx,knocr,hect,facrk@,icn,d@,wei,@n,karackt@r@stik,x@luit
6796-1454360594-1231485,Oost_Overijsel-Gelderland,zacxt,knocrt,hect,facrk@n,icn,d@,wei,@n,karackt@r@stik,x@luit
6930-1456496662-1527252,Oost_Overijsel-Gelderland,sacx,knr,hect,facrk@n,icn,d,wei,@n,karackt@r@stik,gcluit
6968-1454524328-1299529,Oost_Overijsel-Gelderland,sacxt,knocrt,hect,vacrk@n,icn,d@,wei,@n,kacrackt@r@stik,x@luit
8004-1457194536-1545187,Oost_Overijsel-Gelderland,sacxt,knocr,hect,facrk@,icn,d,wei,@,kacrackt@r@stik,xluit
828-1449173390-128235,Oost_Overijsel-Gelderland,sacx,knocrt,hect,facrk@n,icn,d@,wei,@n,kacrackt@r@stik,x@luit
8391-1462471324-1801471,Oost_Overijsel-Gelderland,sacxt,knocr,hect,facrk@,icn,d,wei,@n,kacrackt@r@stik,x@luit
8466-1460189225-1753126,Oost_Overijsel-Gelderland,zacx,knocr,hect,facrk@n,icn,d@,wei,n,karackt@r@stik,x@luit
8641-1458176970-1671165,Oost_Overijsel-Gelderland,zacxt,knr,hect,facrk@n,icn,d,wei,@n,karackt@r@stik,x@luit
8804-1457967558-1649071,Oost_Overijsel-Gelderland,sacxt,knrt,hect,facrk@,icn,d,wei,@n,kacrackt@r@stik,x@luit
8845-1483384027-2547994,Oost_Overijsel-Gelderland,zacxt,knocr,hect,facrk@,icn,d,wei,@,karackt@r@stik,x@luit
9073-1460294084-1755681,Oost_Overijsel-Gelderland,zacxt,knocr,hect,vacrk@,icn,d@,wei,@n,karackt@r@stik,gc@luit
9220-1464559922-1769393,Oost_Overijsel-Gelderland,sacxt,knocrt,hect,facrk@,icn,d,wei,n,kacrackt@r@stik,x@luit
9415-1462988098-1806620,Oost_Overijsel-Gelderland,zacxt,kn@rt,hect,facrk@n,icn,d,wei,@n,karackt@r@stik,gc@luit
9486-1463415383-1821399,Oost_Overijsel-Gelderland,sacxt,knrt,hect,facrk@,icn,d@,wei,@n,karackt@r@stik,x@luit
9910-1464027965-1851396,Oost_Overijsel-Gelderland,sacx,knocr,hect,facrk@,icn,d,wei,@n,karackt@r@stik,x@luit
